Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 72358]",11471908,504285728448.0,F99Q10000021,2004-04-01,75.07355411148694,0.06198254030628558,5.252466999909692,24.54095621332863,35004.0,2029-02-01,1.0247393671063179,0.8771737011837961,0.08595980720905363,30.157726549294964,86360.86263941447,63.981803301375734,5.264928934148552,0.003115436420863905,0.06909739861930553,0.01609061021061187,0.08415766583902172,491.69880529481105,0.26844166401962083,1.2570329293255984,20.42285337361275,125.20643460032547
"[72358, 116644]",11471908,1081831040063.0,F99Q10000021,2002-07-01,50.29678872947726,0.0,5.053679256319001,40.77935903360541,35004.0,2029-02-01,1.0263311414615945,0.8866566049867206,0.07315409084521947,32.179161836880034,114783.26055264739,69.50574395291252,5.060721748801491,0.0014044743036642205,0.07478738497554199,0.010046105669606138,0.12191842891348152,501.1274897536688,-0.0282786608382843,1.2030257522737726,-3.7413170801387774,119.80849479051652
"[116644, 170469]",11471908,1629541488984.0,F99Q10000527,1999-02-01,41.81468008634658,0.0,4.806822636217096,48.777916162516796,42644.0,2014-02-01,1.0265911554600695,0.9055829248281977,0.05627878117572072,33.49837429791835,161844.83845233067,72.49777439740991,4.820570164579886,0.0009143204425976917,0.07326671378466425,0.004982170359106785,0.1767753890634409,510.2152979262823,-0.24987849510299423,1.1816249617579109,-25.655733722033812,117.6704142454545
"[170469, 255423]",11471908,2395523937356.0,F99Q10000500,1999-03-01,36.43042151314324,0.0,4.543598219668429,54.60695427654945,36084.0,2029-03-01,1.0293312760564792,0.9177027047288037,0.04384362217688636,34.41558190229697,229770.35084312042,73.99120908729803,4.560060629183797,0.0004777757980625368,0.06802713201674909,0.002474653736762882,0.23493615883251504,522.7274877767433,-0.488676594294515,1.1700850521064792,-49.79465659536388,116.51782747778347
"[255423, 1866000]",11471908,4140349802397.0,F99Q10050993,1999-03-01,29.36713465624027,0.0,4.160275152834211,60.37215697772545,31084.0,2029-02-01,1.047219759325897,0.925754809051816,0.03798531159768715,35.443388413250055,384063.9313878738,74.05691232780643,4.157938045563522,0.00019325468788626966,0.0676195276321951,0.0010752352616495878,0.2867387011820527,562.9764969349475,-0.8863795571756676,1.1438534086483088,-94.50039147226535,113.89833197704085
