Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 1)",57289501,9745361231710.0,F99Q10000021,2002-07-01,170107.2807687747,46.56099683954308,0.012393946318366432,4.76153473351077,49.491122107705685,35004.0,2029-02-01,1.0308426689339059,0.9024807180638561,0.05949358853727841,34.266078864623125,195464.54298842646,72.7581132768477,4.523728136852799,0.07060122586859327,0.006938060081898776,0.1810882765412811,517.8322510065351,-0.2785185527187608,1.1690610847461111,-56.09534082831335,116.41606152009508
"[1, inf)",70039,6170765538.0,F99Q10038794,1999-02-01,88104.70649209726,75.64982366966976,0.014491925926983538,6.263288125187396,33.3747572815534,40140.0,2029-02-01,1.0307400162766458,0.9789974157255243,0.01914647553505904,34.44275188810243,113654.60671911364,66.82778008426092,6.300843860086878,0.036536786647439284,0.003412384528619769,0.031211182341267008,449.9511986179129,1.0025273133539885,1.1147206226466453,91.52653932222697,110.97441654993568
