Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 1)",56961823,9714534895388.0,F99Q10000021,2002-07-01,170544.66278911053,46.501999049433515,0.012423233013451834,4.75818544910334,49.488192741978445,35004.0,2029-02-01,1.0310561638592481,0.9024767167300808,0.05979159058866497,34.25932821320605,195969.0359453559,72.73662759893072,4.521478239982018,0.0012253821300627966,0.07105229058416898,0.18216837968826946,517.067806977364,-0.28200795416080693,1.169152033228609,-56.26828904339418,116.42515820283664
"[1, inf)",397717,36997101860.0,F99Q10041686,1999-02-01,93023.68734552458,60.13339635972312,0.008568907036913181,5.505688620300365,65.83333333333333,33140.0,2029-02-01,1.0002489207149807,0.9165285869097877,0.009707907884249353,36.08189559207567,108803.1112575022,77.41046437678997,5.410902117355227,0.0006009298068727261,0.0,0.0,615.3698690417517,0.44683600524996414,1.1361167621782138,13.938563205312644,113.11988016950039
