Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 1)",5588302,841399366608.0,F99Q10008637,1999-02-01,150564.4051821108,48.17741220857427,0.011606208826938845,5.015343942757568,46.43893018455216,34980.0,2014-02-01,1.1632996916196126,0.6101493799010862,34.50586035779283,172879.1956841273,71.24804701220778,4.751660541364495,0.0002632284368310804,0.14579723858875202,0.005940623824553504,0.1787346138415569,545.1717915754316,0.10535001526402839,1.1912598467842026,-18.504719232378328,118.63483792143482
"[1, inf)",51771238,8910132630640.0,F99Q10000021,2002-07-01,172105.84438100553,46.425870364544885,0.01248181470954973,4.7361696609998,49.80051827102234,35004.0,2029-02-01,1.0165451830448444,0.0,34.24437608619935,197791.7783422525,72.89660466514766,4.503434834404995,0.0013244419613840412,0.06243831758475623,0.007040955829566989,0.1811395740623394,514.7893747597933,-0.3182211056069395,1.16692718311329,-59.54285238217072,116.20276995051186
