Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
2033-08-01,498820,69700323071.0,F02Q30879589,2003-08-01,139730.40990938616,63.71673950523235,0.010941822701575718,5.279468423479412,33.42806070826307,12420.0,1.0215588789543322,0.9371977867767932,0.03326851369231386,31.76539116856826,159724.71031634658,70.3616029300657,5.2714570558527045,0.0020608636381861194,0.060735335391523995,0.006523395212701976,0.11616214265666974,527.2639709714928,-0.047293167876187814,1.1831097437185434,-17.168239102651718,117.81833450514854
2018-08-01,432510,39569633120.0,F99Q40241847,2003-09-01,91488.36586437307,60.54128228249058,0.01072576356616032,4.796135472012208,4.587176410080576,49620.0,1.0162909528103397,0.9581951862384684,0.01783773785577212,29.50452837701868,132631.84435041965,60.111025093896686,4.771045476020223,0.000337564449376893,0.0361887586414187,0.002254283137962128,0.08895748075189013,513.0282351853136,-0.5727553998751473,1.1728562792860995,-88.53814506797227,116.79269216451608
2033-07-01,416219,58542295810.0,F02Q20541522,2003-07-01,140652.6271265848,61.15690778172068,0.011563623957580024,5.323307208464775,34.569298135868884,25860.0,1.018879484117736,0.9384795023773542,0.0318798517126801,31.47402490940181,161253.48434357875,70.56362362247482,5.304279159071282,0.0009370067200199895,0.055035930603840766,0.0076089750828289915,0.13655551524557985,523.0102566197122,-0.019330055811964397,1.192073465421039,-13.597747130340975,118.71054109951551
2050-11-01,353090,103681896720.0,F19Q30544667,2020-11-01,293641.5551842307,30.349607748732616,0.004661700982752273,2.931032260896655,52.24799115326133,29420.0,1.0233679798351696,0.9105242289501261,0.05025630858987794,33.43888130791903,316861.7632898128,71.78627594619682,2.906352921128313,0.0,0.08638873941488005,0.0022968648220000566,0.2799711121810303,573.5502987906766,-2.500174744399445,1.2513068285176334,-247.03388824975386,124.64076686425226
Other,55658901,9480037848527.0,F99Q10000021,2002-07-01,170323.8417971458,46.32890629658677,0.012477824526215493,4.765925265718057,49.517515471926245,35004.0,1.0311757151402732,0.9015126978522268,0.06026664090978009,34.334266815233136,195655.86505202466,72.84881696509953,4.531223913054878,0.0012302614455143481,0.0709304339300555,0.006998161893279208,0.18190319639979954,517.3074400142068,-0.2645367978250236,1.1678649624030546,-54.324206300608445,116.29651576487902
