Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[1, 39]",7212923,960711754109.0,F99Q10020362,2018-10-01,133193.1249105252,84.27740958831808,0.0013915301743828404,3.8056159938210907,33460.0,2029-02-01,1.0129148613243368,0.896044086426543,0.06958815448327953,32.83211569265287,191243.2850038743,55.69269165169246,3.598406554913909,0.00036656429023296103,0.05248011104513385,0.0,0.21906125990808442,553.3224497197599,-1.434001359435003,1.499688837879293,-178.702176680948,149.47049909119227
"[39, 51]",4562448,960711765979.0,F99Q10018324,2017-07-01,210569.36232018424,53.40895326368651,0.001161657075324475,3.70020030124179,48620.0,2029-02-01,1.0123886876784702,0.8967008500699625,0.06770860730905864,33.99212524845748,240566.333249168,68.6458918797478,3.5595659015379715,0.00011989177739669581,0.058930205889469865,2.1918058024990092e-07,0.2493560474552258,530.4473876743363,-1.464969098716303,1.3199676520484558,-177.01988031725577,131.4993343167044
"[51, 61]",3981522,960711782114.0,F99Q10561698,2020-11-01,241292.59667885798,40.227046842890736,0.001296740291777868,3.7071535033587657,10420.0,2029-03-01,1.0121088928818467,0.9063159766541539,0.06069236839580442,34.60168024787052,262845.01052612544,75.4287394074929,3.5939316296751245,0.00011302210561689726,0.06261625579363872,1.5069614082252967e-06,0.26524479834595915,524.6176266261997,-1.3256502198154376,1.2259284850007683,-159.04452580336098,122.09726579456576
"[61, 73]",3677178,960711711795.0,F99Q10561698,2017-06-01,261263.31436634288,30.281491676497573,0.0014394190327473948,3.9212939955585506,10420.0,2029-03-01,1.0123667939860297,0.9071581522569753,0.06086080140803627,35.283872801588224,276755.1638783872,80.83788210870772,3.8494191274782055,7.614534841663907e-05,0.07244767590799249,2.719476729165681e-07,0.2708158267018893,515.6858890159791,-0.886060226347487,1.1402795180056968,-111.56839290014143,113.53583456198444
"[73, 762]",3299712,960711923386.0,F99Q10561698,2017-04-01,291150.234743517,18.750250324876838,0.001748334400093099,4.5152102865340975,10420.0,2029-03-01,1.0099774158002117,0.9464753287559642,0.03155639037588735,36.906885978582075,300087.5264265487,88.85362870216039,4.58985929370717,6.030829357228752e-05,0.0834475857286939,1.2122270064781411e-06,0.28700838133752277,514.9205785232166,-0.3366523892085127,1.060208812782938,-48.4647463921228,105.5411222118247
Missing,34625757,4947973059865.0,F99Q10000021,2002-07-01,142898.62485504648,42.968214153411864,0.019624004177006153,5.337492951013317,35004.0,2029-02-01,1.04311371735428,0.8996076244629106,0.05860599668622407,33.76391984047921,163884.59917280654,71.65008441193534,5.19142892656221,0.001903756212463456,0.07534284376800773,0.011485813869715542,0.13458004687088862,508.36465727465014,0.31157084715866284,1.0911791483131832,20.651580458080335,108.63039024691054
