Bucket,Count,Total Weight,loan_id (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
2025-12-01,268487,60949215807.0,F99Q10023175,227009.93272299963,67.42203533131958,0.007121387627706369,4.155461743026664,46.557974046018565,47664.0,2029-03-01,1.030824928114897,0.9064610204590912,0.06249092134814721,35.76735229300395,273205.4699110199,74.13761667340593,4.300672624659484,0.00010801267845370539,0.07899451370084958,0.007329963834375594,0.2579975939244731,525.4102805722438,-2.0820382569733353,1.2552265909451155,-193.91246707273652,125.031508038382
2026-01-01,268423,61084763988.0,F99Q10023175,227569.03837599608,67.90690067542647,0.005390745204397537,4.164454107881963,47.090289768882144,47664.0,2029-03-01,1.030847179792862,0.9066547948573707,0.062382880751649446,35.77962025300223,273802.3455516107,74.16657132915151,4.314428821865926,0.00010803843187804324,0.07905432842938198,0.007383867999389024,0.25826028320971006,525.318817687009,-2.0255458921180365,1.2564024639687856,-187.56231234266122,125.1476334121021
2025-08-01,268195,60788558246.0,F99Q10023175,226658.05941945227,65.50695948843193,0.006133596823206995,4.108667148902851,45.779861062612206,47664.0,2029-03-01,1.0308435747524163,0.9055836238557766,0.06294673651634072,35.69851258572503,270856.8019538023,74.04248169528289,4.24012724216366,0.00010813027834225098,0.07910289155278809,0.007147784261451556,0.2569063554503253,525.6893528962136,-2.61133285109715,1.25418856711148,-248.42515837796992,124.9280408172489
2025-07-01,268195,60697810030.0,F99Q10023175,226319.69287272322,65.02204366226067,0.0066593336937675945,4.093476291504317,45.264360567256226,47664.0,2029-03-01,1.0309069621763514,0.9053338056265031,0.06305113816439531,35.66678137210107,270239.4712802252,73.99682257012644,4.217545366629285,0.00010813027834225098,0.07907679114077444,0.0070955834374242625,0.2567348384570928,525.800167788363,-2.724023708495684,1.258112839840422,-260.1559241845517,125.31754417306776
Other,56286240,9508011649177.0,F99Q10000021,168922.4870799151,46.21765058387272,0.012512258768750586,4.775435821117203,49.637133792645585,35004.0,2029-02-01,1.0308422936329784,0.9025086593099841,0.05938190221979653,34.22616043731652,193902.81011842325,72.72025256940034,4.531423808471339,0.0012422751990539783,0.07039759628641032,0.0069279276782389446,0.17944518944594628,517.6005267516232,-0.23722234121518854,1.1667995926438157,-51.73913060527017,116.18995943226567
