Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[1, 1]",11471350,1181898931008.0,F99Q10000021,2002-07-01,103030.50042131048,53.244441587084346,0.01759200094147594,6.070652219747457,23.47617943355081,35004.0,2029-02-01,0.9386928303992119,0.03134121092983825,31.32592388842165,125697.45496388829,68.65030740118164,6.059458174134622,0.003914273385434147,0.052432887149289314,0.006264912150705889,0.08535961329747589,504.8398738816525,0.32311859685215777,1.1854858072827166,13.45493278929902,118.0577507495855
"[1, 1] (1)",11471349,1616699365569.0,F03Q30884298,2003-11-01,140933.67445877552,52.470779591833534,0.014263797570800086,5.747132292723375,38.135855055987676,33460.0,2018-09-01,0.9052155940857523,0.045105157205137775,35.87003800003643,160975.07686323553,70.86712097622123,5.820395860279243,0.0020306242971075156,0.08080714831359416,0.014303723127942494,0.12778305323985872,503.5434495238304,0.6244361900679686,1.011604235277346,49.86344598608084,100.66849207727908
"[1, 1] (2)",11471350,1819112152903.0,F09Q20089712,2019-06-01,158578.73335771292,56.34348938878162,0.011303900587114855,4.212502280899807,34.62023106094492,31084.0,2039-05-01,0.9072836239849712,0.051653379942203835,32.25426715524643,192020.06328810472,74.43825914087765,4.244333395575254,0.0,0.062119541292001375,0.0036034991522357874,0.18853700741412302,514.0972283994473,0.01181350909003735,1.2312029116799246,9.531760481228877,122.62765184433512
"[1, 1] (3)",11471349,2117209335746.0,F13Q20194233,2021-08-01,184564.98322437928,41.99396871283403,0.01294974113332268,4.048705357844138,50.92539173640893,29460.0,2033-06-01,0.8818870387432202,0.07739490795720713,34.86233641297731,211682.00801841178,75.86565520894729,4.052476715544398,0.0,0.08685543435214114,0.005406164523457529,0.24966183140274087,535.5523467205121,-0.34215714237270617,1.2392650824842695,-24.705483766939235,123.43665514762822
"[1, 4]",11471350,3016149423344.0,F99Q10007892,1999-04-01,262928.8988082484,28.9307468606572,0.005872281815130739,3.7379564842847612,55.205619530114376,17460.0,2011-03-01,0.879802638747837,0.09171204784092543,35.02485173554213,286448.271825025,72.17332211056481,3.729904750639347,0.00016066112532526686,0.07057600020921688,0.005092164392159598,0.25316645381755415,530.7124325601303,-2.0020573558038066,1.160144568495893,-201.46744512768797,115.52713752712233
Missing,2792,462788678.0,F99Q10463762,1999-03-01,165755.25716332378,43.11676217765043,0.015759312320916905,4.326425501432665,39.19715808170515,28100.0,2014-02-01,0.8574498567335244,0.12070200573065902,33.25135850406495,196873.92550143268,79.58744056861636,4.188404077670629,0.0,0.09992836676217765,0.0,0.25644699140401145,519.9237106017192,0.029681053008596015,1.226836333953572,4.5697868304375415,122.20150394215132
