Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[2, 59]",14079094,1950258164412.0,F99Q10000717,1999-03-01,138521.5671130543,48.40573938919649,0.012138636193493701,4.669873202636476,28.78936020657238,26900.0,2029-03-01,1.036430334381445,0.917301283733172,0.0497590256873063,32.283683800044585,167192.9428839668,4.377395529244669,0.0019222117559553192,0.060257641578357245,0.004947832580704412,0.15682394051776344,534.7886147938314,-0.42128373960000554,1.1723674172458785,-74.32409709338434,116.74634140703922
"[59, 72]",11296004,1950258323773.0,F99Q10000663,1999-04-01,172650.2862227209,47.1093337962699,0.012164832802821246,4.663538938282954,44.40348603560245,36084.0,2014-02-01,1.0410403001070672,0.9004740083307335,0.06619482429361746,33.75414513912669,200598.29883204715,4.379891866339903,0.001206001697591467,0.05894358748456534,0.007193340228987171,0.1701031621447726,520.6123778322841,-0.4269633843968186,1.1710335698812544,-74.84275914342325,116.61316050273614
"[72, 80]",11642870,1950258442904.0,F99Q10000021,2002-07-01,167506.67515002744,47.76421913153715,0.013915383406325072,5.045677217043564,50.777952760192576,35004.0,2029-02-01,1.041447217769636,0.8697900088208491,0.09262810630025071,34.10636112383832,192310.94146031004,4.7450600562360385,0.0014039493698718615,0.07174493917736778,0.005722214539885784,0.161480975051684,514.1104127428905,-0.12138800059607296,1.168191383291557,-42.5077992881253,116.32903383146261
"[80, 85]",10135346,1950258097462.0,F99Q10006790,1999-04-01,192421.4622235886,44.3742545148434,0.011999393015295186,4.651262420049597,56.563553513068065,15940.0,2019-03-01,1.0168298724562665,0.8855339521709471,0.05280056546663528,35.03206140792913,215798.3536033205,4.509676523899864,0.0007342620567664883,0.07919029108626385,0.00664220047347175,0.2257917983263719,508.4162614661022,-0.21783702243613584,1.1518678372444122,-46.58708493579902,114.69684817349642
"[85, 641]",10203481,1950258592350.0,F99Q10000420,1999-03-01,191136.5927324214,44.405147125770114,0.011669840910175654,4.791922363652168,67.3562849354912,26900.0,2019-03-01,1.0136442013981868,0.9389021256569204,0.03407346963256951,36.42266556323784,211653.22981441332,4.61212361455032,0.0005454021034586138,0.0876887015323496,0.011060539045449293,0.2036928377678167,504.4939239527747,-0.14810758985095374,1.1816896923284965,-41.7559147845146,117.67934780758101
Missing,2745,240376347.0,F99Q10463762,1999-03-01,87568.79672131148,54.80619307832423,0.01347905282331512,5.493030965391621,3.220779220779221,36140.0,2014-02-01,1.0901916572717023,0.9449908925318762,0.04480874316939891,29.528534670312368,109311.83970856102,5.464746579662432,0.0,0.14571948998178508,0.0,0.09544626593806922,509.9398907103825,0.24475701275045536,1.035863966712672,9.093504699112513,103.09197774355061
