Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[8000, 147000]",24667754,1950306375859.0,F99Q10000021,2002-07-01,79062.98951493517,54.21484452942088,0.012125830345154244,5.217373182657814,39.49989716610498,35004.0,2029-02-01,1.0250107199514096,0.8805706834923034,0.08121464970017132,32.125248489126825,69.34815606657895,5.195700839503731,0.0021568238437921832,0.07490564402417829,0.012922173619860162,0.10182637624811727,497.6295362000067,0.15318618650891364,1.1708329558562107,8.072795618613752,116.59090679902506
"[147000, 214000]",12775126,1950306365827.0,F99Q10000500,1999-03-01,152664.35460808763,45.27590271908081,0.012887074460165794,4.701943066706348,48.13926287221281,36084.0,2029-03-01,1.0269817786885125,0.9119959364784347,0.04989062338798068,33.8290456789875,72.7583512738917,4.752857202185961,0.0008153344240988308,0.06940244659817836,0.004029862406053764,0.1952303249298676,513.3791725087843,-0.30217261387480643,1.1711604495447823,-28.80906416406117,116.62507095139644
"[214000, 289000]",8953416,1950306226859.0,F99Q10003136,1999-02-01,217828.17048364558,40.89255754451709,0.01295092286564145,4.435017279550062,53.02756238444656,33460.0,2029-02-01,1.0298989540208123,0.9227249130387776,0.03984244672647848,34.56609443999708,74.44788166151743,4.484669711496389,0.0004408373295734276,0.06500714364215848,0.0018538175820267929,0.24805705442481396,524.4972366200037,-0.5652091339216229,1.173795258465879,-54.36511513979824,116.88929731647696
"[289000, 394000]",6571188,1950306541123.0,F99Q10050993,1999-03-01,296796.6433349647,37.99753880120307,0.012221382191469793,4.1774506352580385,55.97299672526872,31084.0,2029-02-01,1.0342639093690156,0.9260696848119396,0.03561380377490341,35.07885923151226,74.73754967875146,4.217259333982367,0.0003134897373199488,0.06643273636365296,0.0011873043352282724,0.28099820002106163,542.3056069922212,-0.8049657267453009,1.1700614129015647,-78.57028061186965,116.51670599344641
"[394000, 1866000]",4392056,1950306487580.0,F99Q30088895,1999-10-01,444053.1923044697,32.14299931512713,0.011621664204645842,3.938124158708359,58.29782099305809,42044.0,2029-10-01,1.071629944512624,0.9225192028516941,0.0405746192671496,35.573884838688265,72.47967001298335,3.973776443416533,9.380572561005597e-05,0.06700984686898345,0.0006999000012750293,0.2967341491092099,592.9637217740393,-1.2418569380718278,1.159283414694712,-126.33795830517278,115.44110927069595
