Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 1)",53312272,9072086516495.0,F99Q10000021,2002-07-01,170168.8218520306,46.66668860032827,0.012393769299496371,4.75894364638971,49.23383595398763,35004.0,2029-02-01,1.033175126527959,0.9104607096842543,0.05695469140763688,34.2173774527237,195769.41414164455,72.55095747702053,4.521183535123074,0.001265749844613638,0.007460139759190905,0.19463891915917597,520.628012857967,-0.28361600606704584,1.1698266806658382,-56.59594135772085,116.49260557367442
"[1, inf)",4047268,679445480753.0,F99Q10000590,1999-04-01,167877.56104933008,45.672171202895385,0.012432584153063251,4.821653818081728,53.25387687569736,48424.0,2029-04-01,1.0001161357246091,0.7986891404275674,0.09223876451967104,34.93061655665845,190032.9135604561,75.4703205755509,4.573844021745164,0.0006322783665425665,0.0,0.0,479.83124591699885,-0.1892039852562272,1.158345177616645,-48.07051546979737,115.34460926635424
