Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average)
"[110, 112]",2772924,487576585691.0,F99Q10000133,2000-07-01,175834.8175755989,37.482634576353334,0.012349779510725863,4.578038430912639,58.01354165888357,35004.0,2029-03-01,1.0296955751829397,0.9077551350127158,0.057381666428650765,33.96773668847551,196769.63811485638,73.0475953456539,4.2740206306587725,0.0010764809998398803,0.06750996421106384,0.00628506226640182,0.18183513143526472,501.0648013311667,-0.3142767093508514,1.113548988077277,-61.32918729369363
"[112, 115]",2792660,487576462889.0,F99Q10000133,2000-09-01,174592.13183452334,40.22785695358547,0.013405140618621672,4.6405997400328,55.89599016421939,35004.0,2029-03-01,1.0293734695909194,0.9116688032198692,0.054399389829051875,33.84722432506583,197032.70358726088,72.38332472470152,4.224161195412163,0.0012160449177486697,0.06611116283400056,0.006341266033101057,0.17681636862346292,507.8461165766474,-0.47565395984473585,1.138843557729687,-89.75115716044394
"[115, 118]",2757495,487576797358.0,F99Q10000133,2001-05-01,176818.7421402396,43.287574773481005,0.012756868099488847,4.417576522169577,53.55955258320623,35004.0,2029-03-01,1.0295056532827338,0.907515698124566,0.057615335657906906,33.68895718981447,201810.22377193795,72.63943290585775,4.06330979240047,0.0009740724824523707,0.06819812909905548,0.005960119601304808,0.18534285646936804,508.57067446127957,-0.5278159695665814,1.168078238995681,-92.62707607461171
"[118, 122]",2685913,487576546711.0,F99Q10000133,2001-07-01,181531.0275169002,44.58565150844424,0.012872717768594888,4.3333315163223824,51.61597626061606,35004.0,2029-03-01,1.029661258332269,0.9086567584281398,0.056909885018613784,33.73315827789491,208021.27172399106,72.2862879671187,3.9371602333952485,0.0011381604690844417,0.06871592639076544,0.005473371624471828,0.19417345237913514,515.5840798868758,-0.7514704377989906,1.2016010362307212,-121.89544856460208
"[122, 126]",2849909,487576625464.0,F99Q10000933,2002-04-01,171084.98042007658,51.5145374817231,0.013377269239123074,4.41023181161223,48.908375734909455,48864.0,2014-02-01,1.0298175045065057,0.9079900445944064,0.056027052091838725,33.55643886436732,200592.45119756454,72.00974392288742,4.021715322953493,0.0010796835969148488,0.06821340611226534,0.006069667487628552,0.18411254534793917,510.78603560295255,-0.6558399040109701,1.2410426554627263,-117.22855187510261
"[126, 131]",2817783,487576478152.0,F99Q10000933,2002-06-01,173035.49569005135,53.62552439275842,0.013052105147912383,4.300116500454435,46.73343052457177,48864.0,2014-02-01,1.030327712923252,0.9052325888828203,0.05844878757519653,33.481180075377246,204605.00861847773,72.31988426459837,3.9320477098223954,0.0011498401402804971,0.068981181304593,0.005575660013563855,0.19300137732394582,522.4672840347396,-0.7956636900357481,1.2873342631026938,-131.5480324844479
"[131, 138]",2882208,487576676972.0,F99Q10000933,2003-03-01,169167.76199774616,58.30912480986799,0.012852993260722334,4.30920030441939,44.20289654271601,48864.0,2014-02-01,1.0311290891735725,0.9014547180494954,0.060548024292486874,33.470821587683126,203132.41861794845,72.12925196011243,3.940936070579211,0.0011161581676270415,0.06953002697931586,0.005783760228269438,0.19877711809834683,523.5128785705042,-0.8674833957160621,1.3460027348295303,-141.46563671647698
"[138, 147]",3011424,487576632854.0,F99Q10000933,2003-08-01,161908.9948323451,66.29103175109184,0.012480806422476542,4.338613218862571,40.908158647334986,48864.0,2014-02-01,1.033084640889262,0.8956058661948633,0.0644960656486765,33.53401705322984,199887.35893716727,72.77499379304253,4.020237190474221,0.0012482466766552966,0.07230433177128162,0.0058374377038902525,0.20800591348146258,533.1985250069403,-0.8178761099400153,1.4255419000644536,-132.90643550075816
"[147, 165]",3323532,487576501065.0,F99Q10000933,2004-06-01,146704.31970114924,78.20007901232785,0.012375388592617734,4.487582730661236,36.25216468570028,48864.0,2014-02-01,1.03607016821692,0.8864286548166228,0.07030863551185908,33.712358741549416,189663.8512883282,73.1217761629655,4.2355356220098495,0.001284175991084184,0.07574592331290927,0.006849339798744227,0.20072441005532668,529.8523098799882,-0.7709824020048552,1.552042105623778,-115.77034115304077
"[165, 499]",4174268,487576755960.0,F99Q10000933,2005-06-01,116805.33112871526,113.30278218839806,0.012186807363590456,4.462960882003744,25.952824540591642,48864.0,2014-02-01,1.0383124285157779,0.8735689706554538,0.08076266305852907,33.68678919012961,176349.08252177387,75.15095633909877,4.360942095763677,0.001089532344353549,0.07067370854003624,0.008274265092706075,0.1903346886208552,568.5858658332431,-1.0437862373714384,1.9499156212783029,-108.41762095032009
