Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_dti (Weighted Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[0, 1)",46982897,7526963569637.0,F99Q10000021,2002-07-01,160206.45916400175,47.96702517088293,0.012373992178472945,4.8536090825774325,48.76978118920078,35004.0,2029-02-01,1.0374083288157097,0.9023159640411276,0.061562402165196414,34.2025206375903,184932.2102679194,72.23059163398088,4.612137602355208,0.0014442063885502846,0.08614343215149121,0.00846514424174397,506.8092102433133,-0.1992478263632828,1.1656060417983907,-47.908110996112825,116.07024158014977
"[1, inf)",10376643,2224568427611.0,F99Q10000500,1999-03-01,214382.28409814235,40.39118528024911,0.012498454461621162,4.354780993140074,51.62674210869999,36084.0,2029-03-01,1.0011135390601726,0.9037431469888673,0.04985417730955956,34.47544295405372,242600.1741603715,74.52652945817296,4.229518863061834,0.00021066543389803427,0.0,0.0,567.2833127163292,-0.6287903313721017,1.180600698376134,-83.38784391293756,117.5710698095591
