Bucket,Count,Total Weight,loan_id (Representative Value),monthly_reporting_period (Representative Value),current_actual_upb (Average),loan_age (Average),zero_flag (Average),current_interest_rate (Average),estimated_ltv (Average),msa (Representative Value),maturity_date (Representative Value),num_units (Average),occupancy_primary (Average),occupancy_investment (Average),orig_upb (Average),orig_ltv (Weighted Average),orig_interest_rate (Weighted Average),prepayment_penalty (Average),property_type_co_cp (Average),property_type_mh (Average),property_type_pu (Average),postal_code (Average),incentive (Average),price_delta (Weighted Average),r_incentive (Weighted Average),r_price_delta (Weighted Average)
"[1, 25]",12738840,1797562090078.0,F99Q10000174,1999-02-01,141108.77364642307,48.612186588417785,0.012856743628148246,4.848153296846495,43.7541526263236,27500.0,2029-02-01,1.019322404477969,0.9103508639719158,0.04814598503474413,168150.40560992993,66.81125154060281,4.485103475023183,0.0017231553265446462,0.05986157295326733,0.0057630051087854154,0.16296138423906728,505.34880577551036,-0.29676094267609926,1.17324784157398,-64.92063900751278,116.83425984821805
"[25, 32]",10772539,1797562262233.0,F99Q10000021,2002-07-01,166865.23597018307,46.51599618251556,0.012680668874812149,4.777757312923165,49.40957236257753,35004.0,2029-02-01,1.0240597346673055,0.9171736579463764,0.04724095220263301,192396.43161189763,71.60811316164813,4.465222257851053,0.0012923601390535694,0.06516365361963415,0.006945994811436746,0.17878338616365186,511.9394989049296,-0.33419566153346014,1.1656245476802938,-66.46563193779905,116.07237989388271
"[32, 38]",9964246,1797562222412.0,F99Q10000420,1999-03-01,180401.22879463233,45.32103854120021,0.012609684666556807,4.7265766311871475,51.38505348076309,36084.0,2019-03-01,1.0295545104426371,0.9083134840308037,0.055710788352676156,205344.60429820782,73.32209595925293,4.469476970010395,0.0012734531042288598,0.06996525376832326,0.007323986180188646,0.18929661110333887,520.0666030048831,-0.33116451560910876,1.1662949013697155,-62.443533685314215,116.13952164748794
"[38, 44]",9293789,1797562269536.0,F99Q10000176,1999-03-01,193415.4379377453,43.20469025066095,0.012286269894872802,4.67309655190149,53.59205531979738,34980.0,2019-03-01,1.037602899998558,0.9002821131402918,0.06336328487767476,217551.0691064753,74.27683306891997,4.4520881629812745,0.0010305807459153635,0.0746315630793856,0.007559779977789467,0.20175958373920475,526.8214625842837,-0.4060802830255776,1.164596317807717,-68.58610217324096,115.97023564852036
"[44, 65]",9174950,1797562282137.0,F99Q10000882,2000-09-01,195920.66247085817,43.155680848397,0.012610204960245015,4.929766120578313,53.31567906675936,31084.0,2014-04-01,1.0480205483154845,0.8865799813622962,0.07098839775693601,219180.393026665,72.3649764904024,4.746044519889736,0.0011978266911536303,0.0805281772652712,0.007805383135602919,0.19759192148186094,529.2916269428086,-0.23519253532716802,1.1364878964209706,-52.68179272343098,113.15975343226806
Missing,5415176,763720870852.0,F99Q10001658,2001-07-01,141033.4347123713,56.012952672267716,0.01018341786121079,4.4759937433243175,39.940270103378154,29820.0,2014-02-01,1.0330997082534086,0.8757087488938494,0.09088421133495939,168496.86473717567,85.43678481694468,4.539747038783528,0.00016786158012223427,0.08367595069855532,0.006394252005844316,0.14783416088415224,519.0880477535119,0.13411604535106522,1.260542845261519,26.584517033557027,125.56126993753857
